# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	148898
#@/user_id	Mac
B zhan 	B站	c=1 d=1 t=103033
wan le 	完了	c=14 d=1 t=140902
wan le 	晚了	c=3 d=1 t=148568
wan li 	腕力	c=1 d=1 t=6208
wan mei 	完美	c=3 d=1 t=131999
wan ou 	玩偶	c=4 d=1 t=125306
wan quan 	完全	c=33 d=1.40543 t=143306
wan sha 	玩啥	c=1 d=1 t=7784
wan shan 	完善	c=1 d=1 t=94662
wan shang 	晚上	c=206 d=0.609571 t=148898
wan shang xi 	晚上洗	c=1 d=1 t=12618
wan shang xiang 	晚上想	c=1 d=1 t=75233
wan shang zao dian 	晚上早点	c=1 d=1 t=50493
wan she ying 	玩摄影	c=1 d=1 t=54087
wan shi 	完事	c=1 d=1 t=144688
wan shi da 	万事达	c=3 d=2.80337 t=98187
wan tuo 	腕托	c=4 d=3.92148 t=43923
wan wan 	玩玩	c=10 d=1.02571 t=133357
wan wu 	万物	c=2 d=1 t=148499
wan xiang cheng 	万象城	c=6 d=1 t=68116
wan yao 	弯腰	c=1 d=1 t=54890
wan yi 	万一	c=15 d=1 t=147117
wan yi dian 	晚一点	c=1 d=1 t=61890
wan yi er 	玩意儿	c=3 d=1 t=116044
wan yi xia 	玩一下	c=2 d=1 t=105782
wan you xi 	玩游戏	c=1 d=1 t=37769
wan zheng 	完整	c=10 d=1.00009 t=126623
wan zhuang 	晚装	c=1 d=1 t=96045
wang 	往	c=3 d=1 t=134296
wang 	望	c=1 d=1 t=143493
wang 	王	c=8 d=1 t=147023
wang 	网	c=4 d=1 t=106909
wang ba 	王八	c=1 d=1 t=136788
wang ba 	网吧	c=1 d=1 t=4945
wang bao 	网暴	c=1 d=1 t=85612
wang duan 	网段	c=10 d=2.87618 t=26327
wang fa 	王法	c=1 d=1 t=104683
wang fei 	网飞	c=49 d=1.19057 t=140134
wang feng 	汪峰	c=2 d=1 t=123498
wang gou 	网购	c=1 d=1 t=37822
wang guan 	王冠	c=1 d=1 t=118106
wang guan 	网关	c=12 d=1.94649 t=90874
wang guan 	网管	c=1 d=1 t=86645
wang guang 	王光	c=1 d=1 t=104182
wang hong 	网红	c=5 d=1 t=148510
wang hou mian 	往后面	c=1 d=1 t=102148
wang ji 	忘记	c=40 d=1.13187 t=140527
wang ji shuo 	忘记说	c=1 d=1 t=909
wang ka 	网卡	c=15 d=1 t=28623
wang kou 	网口	c=1 d=1 t=61633
wang le 	忘了	c=2 d=1 t=127602
wang lian 	网恋	c=1 d=1 t=48620
wang luo 	网络	c=73 d=1 t=148627
wang luo cha 	网络差	c=1 d=1 t=103865
wang luo xie yi 	网络协议	c=1 d=1 t=9721
wang luo zhan 	网络栈	c=2 d=1.94649 t=9790
wang nan bu 	往南部	c=1 d=1 t=107745
wang pan 	网盘	c=47 d=1 t=146463
wang qian 	往前	c=2 d=1.99501 t=124541
wang quan yun luo 	王权陨落	c=1 d=1 t=12018
wang shang 	往上	c=1 d=1 t=108557
wang shang 	网上	c=66 d=1 t=140496
wang su 	网速	c=8 d=1 t=148607
wang tu 	网图	c=1 d=1 t=147416
wang wang 	往往	c=1 d=1 t=49143
wang wen 	网文	c=3 d=1.96561 t=117320
wang xia 	往下	c=2 d=1 t=82913
wang xian 	网线	c=5 d=1 t=60961
wang xian kou 	网线口	c=1 d=1 t=61556
wang ye 	网页	c=53 d=1.00002 t=148621
wang ye ban 	网页版	c=5 d=1 t=105400
wang ye ban ben 	网页版本	c=1 d=1 t=99402
wang ye duan 	网页端	c=1 d=1 t=107706
wang ye li 	网页里	c=1 d=1 t=16198
wang yi 	网易	c=8 d=1.01271 t=138829
wang yi yun 	网易云	c=8 d=0.516851 t=148898
wang you 	往右	c=2 d=1.99005 t=145403
wang you 	网友	c=5 d=1 t=138729
wang you 	网游	c=2 d=1 t=101699
wang zhan 	网站	c=38 d=1 t=146827
wang zhao jun 	王昭君	c=5 d=1 t=109057
wang zhe 	王者	c=58 d=1 t=146710
wang zhi 	网址	c=13 d=1.04859 t=123571
wang zuo 	往左	c=2 d=1.99005 t=145400
wei 	为	c=20 d=0.238276 t=148898
wei 	位	c=3 d=1.2302 t=64313
wei 	味	c=1 d=1 t=80411
wei 	喂	c=3 d=2.57927 t=142103
wei 	微	c=1 d=1 t=111381
wei 	韦	c=4 d=1.7788 t=144654
wei 	魏	c=1 d=1 t=15987
wei bo 	微博	c=8 d=1 t=147259
wei bu 	尾部	c=1 d=1 t=121126
wei da 	伟大	c=1 d=1 t=82762
wei dao 	味道	c=20 d=1 t=135027
wei dao bang 	味道棒	c=1 d=1 t=57621
wei fa 	违法	c=3 d=1 t=107430
wei fan 	违反	c=3 d=1 t=98372
wei fu wu 	微服务	c=2 d=1 t=146162
wei guan 	围观	c=1 d=1 t=132645
wei guan 	微观	c=1 d=1 t=132644
wei guang 	微光	c=1 d=1 t=24606
wei gui 	违规	c=2 d=1 t=86579
wei ha 	为哈	c=1 d=1 t=105013
wei hu 	维护	c=22 d=1 t=147200
wei hui 	未回	c=2 d=1.00017 t=5951
wei jing 	胃镜	c=2 d=1.66034 t=51982
wei kou 	胃口	c=10 d=1 t=88137
wei kuan 	尾款	c=2 d=1 t=51577
wei lai 	未来	c=1 d=1 t=86057
wei le 	为了	c=23 d=1.00119 t=137654
wei li 	威力	c=1 d=1 t=35558
wei nan 	为难	c=2 d=1 t=62044
wei qi ji 	为契机	c=0 d=0.1 t=147793
wei qi ji shang 	为契机上	c=1 d=1 t=147794
wei qu 	委屈	c=2 d=1.99501 t=140265
wei ruan 	微软	c=7 d=1 t=114280
wei sha 	为啥	c=86 d=1.00004 t=147574
wei sha bu neng 	为啥不能	c=1 d=1 t=130805
wei shang 	微商	c=1 d=1 t=104649
wei shen me 	为什么	c=54 d=0.105928 t=148898
wei shen me hui 	为什么会	c=1 d=1 t=34969
wei shen me shuo 	为什么说	c=1 d=1 t=83046
wei shen me zhe me jiu 	为什么这么久	c=1 d=1 t=127829
wei sheng 	卫生	c=2 d=1.92312 t=48646
wei sheng jian 	卫生间	c=5 d=1 t=134953
wei shu bu duo 	为数不多	c=1 d=1 t=31128
wei suo fa yu 	猥琐发育	c=2 d=1 t=87931
wei tiao 	微调	c=3 d=1.48191 t=115214
wei xian 	危险	c=4 d=1 t=147088
wei xin 	微信	c=83 d=0.229925 t=148898
wei xin du shu 	微信读书	c=1 d=1 t=90784
wei xin hao 	微信号	c=2 d=1 t=104669
wei xing zhi bo 	卫星直播	c=1 d=1 t=147258
wei xiu 	维修	c=5 d=1.00036 t=62879
wei xiu ma 	维修吗	c=1 d=1 t=61755
wei xu qiu 	伪需求	c=2 d=1 t=99800
wei yi 	位移	c=6 d=1.9802 t=137281
wei yi 	唯一	c=3 d=1 t=137282
wei yi xing 	唯一性	c=1 d=1 t=136201
wei yuan 	委员	c=1 d=1 t=21176
wei yue 	违约	c=2 d=1.91851 t=27739
wei zao 	伪造	c=3 d=2.89037 t=97422
wei zhe 	围着	c=2 d=1 t=75457
wei zhi 	位置	c=36 d=1.06298 t=148653
wei zhi 	未知	c=1 d=1 t=133848
wei zhi shang 	位置上	c=1 d=1 t=10457
wei zhu 	为主	c=4 d=1 t=112763
wei zi ji 	为自己	c=1 d=1 t=12930
wen 	文	c=1 d=1 t=64425
wen 	温	c=1 d=1 t=9919
wen 	稳	c=13 d=1 t=120112
wen 	纹	c=1 d=1 t=13234
wen 	问	c=99 d=0.341298 t=148898
wen 	闻	c=2 d=1.99501 t=147983
wen ba 	问吧	c=1 d=1 t=4188
wen ben 	文本	c=8 d=1.96561 t=148652
wen chang ta 	文昌塔	c=1 d=1 t=75973
wen cheng 	文成	c=2 d=1 t=121087
wen da 	问答	c=2 d=1 t=94620
wen dang 	文档	c=57 d=1 t=142070
wen dao 	闻到	c=6 d=1 t=138073
wen di 	文帝	c=1 d=1 t=114639
wen ding 	稳定	c=37 d=1.52729 t=146899
wen ding xing 	稳定性	c=1 d=1 t=104998
wen du 	温度	c=21 d=1 t=130350
wen fa 	问法	c=1 d=1 t=48186
wen ge 	文革	c=1 d=1 t=116389
wen guo 	问过	c=0 d=0.1 t=16185
wen guo wo 	问过我	c=1 d=1 t=16186
wen hao 	问号	c=1 d=1 t=2657
wen hua 	文化	c=1 d=1 t=128163
wen jian 	文件	c=200 d=2.61725 t=148898
wen jian 	稳健	c=2 d=1.30575 t=61116
wen jian jia 	文件夹	c=21 d=1 t=141399
wen jian jia li 	文件夹里	c=1 d=1 t=16291
wen jian ming 	文件名	c=2 d=1 t=133994
wen jian shu 	文件树	c=2 d=1 t=131051
wen jian ye 	文件也	c=1 d=1 t=148780
wen jian zhong 	文件中	c=3 d=1 t=118822
wen le 	稳了	c=1 d=1 t=108024
wen le 	问了	c=6 d=1.99005 t=103503
wen le wo 	问了我	c=1 d=1 t=104489
wen mang 	文盲	c=1 d=1 t=4769
wen mo 	文末	c=1 d=1 t=8036
wen ni 	问你	c=2 d=1 t=119233
wen ping 	文凭	c=1 d=1 t=55839
wen qi lai 	闻起来	c=1 d=1 t=95986
wen qing chu 	问清楚	c=1 d=1 t=74140
wen quan 	温泉	c=2 d=1 t=145122
wen ren 	问人	c=1 d=1 t=82798
wen rou 	温柔	c=0 d=0.1 t=52748
wen rou ti 	温柔提	c=1 d=1 t=52749
wen shen 	纹身	c=2 d=1.93707 t=13240
wen ta 	问他	c=3 d=1 t=142098
wen ta 	问她	c=1 d=1 t=45029
wen ti 	问题	c=304 d=2.06446 t=148886
wen ti bu da 	问题不大	c=26 d=1.00127 t=137217
wen ti bu da suan 	问题不打算	c=1 d=1 t=88125
wen ti guang chang 	文体广场	c=1 d=1 t=18825
wen ti lei 	文体类	c=1 d=1 t=98253
wen ti ma 	问题吗	c=1 d=1 t=131247
wen ti ting 	文体厅	c=0 d=0.1 t=5673
wen ti ting da 	文体厅大	c=1 d=1 t=5674
wen tu 	问图	c=1 d=1 t=79012
wen wen 	稳稳	c=3 d=1 t=120084
wen wen 	问问	c=57 d=1 t=148837
wen wen dang dang 	稳稳当当	c=1 d=1 t=22068
wen wen kan 	问问看	c=1 d=1 t=96622
wen wen ti 	问问题	c=2 d=1 t=29545
wen wo 	问我	c=16 d=1 t=141221
wen xia 	问下	c=8 d=1.00037 t=140994
wen xin 	文心	c=1 d=1 t=43101
wen xin 	温馨	c=3 d=1 t=95416
wen yi ju 	问一句	c=1 d=1 t=4406
wen yi wen 	问一问	c=1 d=1 t=68994
wen yi xia 	问一下	c=5 d=0.873716 t=148898
wen ying 	稳赢	c=1 d=1 t=97760
wen zhang 	文章	c=44 d=1.57419 t=148749
wen zhang li 	蚊帐里	c=1 d=1 t=99504
wen zhong 	稳重	c=1 d=1 t=76618
wen zhou 	温州	c=2 d=1 t=87882
wen zhou cun 	温州存	c=1 d=1 t=27296
wen zhu 	稳住	c=1 d=1 t=64836
wen zhuang 	文状	c=5 d=1 t=148747
wen zi 	文字	c=16 d=1.00003 t=146394
wen zi 	蚊子	c=-7 d=1.94176 t=83305
weng 	翁	c=1 d=1 t=142467
weng ji 	翁鸡	c=1 d=1 t=140526
weng ni 	翁你	c=1 d=1 t=90308
wo 	我	c=5872 d=9.06234 t=148898
wo 	沃	c=1 d=1 t=9921
wo ai 	我爱	c=1 d=1 t=128164
wo ba 	我把	c=1 d=0.289384 t=148898
wo bang ni 	我帮你	c=1 d=1 t=16292
wo bang ni jiao shui 	我帮你浇水	c=1 d=1 t=12131
wo bi jiao 	我比较	c=1 d=1 t=142172
wo bu 	我不	c=4 d=1 t=145883
wo bu ai chu men 	我不爱出门	c=1 d=1 t=29908
wo bu dong 	我不懂	c=2 d=1 t=130801
wo bu hui 	我不会	c=2 d=1 t=145137
wo bu ji de 	我不记得	c=1 d=1 t=119036
wo bu le yi 	我不乐意	c=1 d=1 t=2907
wo bu li jie 	我不理解	c=3 d=1 t=135216
wo bu neng chi 	我不能吃	c=1 d=1 t=12870
wo bu qing chu 	我不清楚	c=1 d=1 t=78307
wo bu shi 	我不是	c=4 d=1.08374 t=114965
wo bu shui zhao 	我不睡着	c=1 d=1 t=2980
wo bu tai 	我不太	c=3 d=0.124307 t=148898
wo bu tai xin 	我不太信	c=1 d=1 t=27555
wo bu xi huan 	我不喜欢	c=1 d=1 t=95017
wo bu xiang 	我不想	c=1 d=1 t=104709
wo bu xin 	我不信	c=4 d=1 t=120175
wo bu xing 	我不行	c=2 d=1 t=72710
wo bu yong 	我不用	c=2 d=1 t=146511
wo bu zhi dao 	我不知道	c=4 d=1 t=129794
wo ca 	我擦	c=40 d=1 t=148762
wo cai zhi dao 	我才知道	c=1 d=1 t=114358
wo cao 	卧槽	c=27 d=1.1023 t=138944
wo ce shi xia 	我测试下	c=1 d=1 t=130088
wo chi 	我吃	c=3 d=1 t=81598
wo chi wan le 	我吃完了	c=2 d=1 t=73108
wo chuo 	龌龊	c=1 d=1 t=53386
wo de 	我的	c=3 d=1 t=131710
wo deng xia 	我等下	c=1 d=1 t=145865
wo di 	卧底	c=5 d=1 t=47066
wo dong 	我懂	c=1 d=1 t=62678
wo dou 	我都	c=1 d=0.0519442 t=148898
wo dou bu zhi dao 	我都不知道	c=1 d=1 t=112173
wo dou ke yi 	我都可以	c=1 d=0.522046 t=148898
wo dou shi 	我都是	c=4 d=1 t=136282
wo fa xian 	我发现	c=4 d=1 t=130958
wo gan jue 	我感觉	c=5 d=1 t=143451
wo gang 	我刚	c=1 d=1 t=60388
wo gei ni 	我给你	c=3 d=1 t=131967
wo gu ji 	我估计	c=1 d=1 t=143566
wo guo 	我国	c=1 d=1 t=42521
wo guo qu 	我过去	c=1 d=1 t=27341
wo hai 	我还	c=1 d=1 t=24023
wo hai xiang 	我还想	c=1 d=1 t=14501
wo hao e 	我好饿	c=1 d=1 t=15091
wo hao le 	我好了	c=1 d=0.425283 t=148898
wo hao xiang 	我好想	c=2 d=1 t=31076
wo he 	我和	c=1 d=1 t=87373
wo he ni 	我和你	c=1 d=1 t=123642
wo hen shao 	我很少	c=1 d=1 t=109293
wo hui 	我会	c=3 d=1 t=134052
wo ji ben 	我基本	c=1 d=1 t=1881
wo ji de 	我记得	c=13 d=1.00008 t=147917
wo jia 	我家	c=6 d=1 t=145932
wo jia li 	我家里	c=1 d=1 t=50049
wo jian yi 	我建议	c=1 d=1 t=137419
wo jin li 	我尽力	c=1 d=1 t=11459
wo jiu ta de 	我就他的	c=1 d=0.101774 t=148898
wo jiu tai feng en 	我就台风嗯	c=1 d=1 t=85293
wo jue de 	我觉得	c=114 d=1.72148 t=148898
wo kan 	我看	c=17 d=1 t=148020
wo kan dao 	我看到	c=3 d=0.463013 t=148898
wo kan dao ni 	我看到你	c=1 d=1 t=99545
wo kan jian 	我看见	c=1 d=1 t=89528
wo kan kan 	我看看	c=9 d=1 t=140795
wo kan tui 	我看退	c=1 d=1 t=91908
wo kao 	我靠	c=4 d=1 t=99645
wo kao lv 	我考虑	c=1 d=1 t=22014
wo ke neng 	我可能	c=7 d=1 t=133041
wo ke yi 	我可以	c=5 d=1 t=127938
wo keng 	我坑	c=1 d=1 t=91436
wo lai 	我来	c=3 d=1 t=103432
wo lao jia 	我老家	c=1 d=1 t=8727
wo lian luo 	我联络	c=1 d=1 t=27166
wo ma 	我妈	c=5 d=1 t=147854
wo ma ma 	我妈妈	c=1 d=1 t=49998
wo mai 	我买	c=2 d=1 t=66825
wo mai bu qi 	我买不起	c=1 d=1 t=11962
wo man 	我蛮	c=1 d=1 t=108418
wo me tian 	我么天	c=1 d=1 t=114340
wo mei ci 	我每次	c=1 d=1 t=4808
wo mei tian 	我每天	c=1 d=1 t=62802
wo mei you 	我没有	c=1 d=1 t=113584
wo mei zhu yi 	我没注意	c=1 d=1 t=34558
wo men 	我们	c=146 d=0.56836 t=148898
wo men jia 	我们家	c=1 d=1 t=114635
wo men kan kan 	我们看看	c=1 d=1 t=23623
wo men ye 	我们也	c=1 d=1 t=85551
wo neng 	我能	c=3 d=1 t=123779
wo pa 	我怕	c=1 d=1 t=11580
wo peng you 	我朋友	c=2 d=1 t=95175
wo qu o 	我去哦	c=1 d=1 t=122394
wo ru guo 	我如果	c=1 d=1 t=120575
wo shang ban 	我上班	c=1 d=1 t=67813
wo shen qing 	我申请	c=1 d=1 t=34985
wo shi 	卧室	c=1 d=1 t=67850
wo shi 	我是	c=4 d=1 t=67845
wo shou ji 	我手机	c=1 d=1 t=91130
wo shuo 	我说	c=4 d=1 t=60488
wo sun 	莴笋	c=6 d=3.51286 t=50272
wo sun si 	莴笋丝	c=1 d=1 t=29246
wo suo wei 	我所谓	c=1 d=1 t=101720
wo xian qu le 	我先去了	c=1 d=0.423162 t=148898
wo xian zai 	我现在	c=5 d=0.233873 t=148898
wo xiang 	我想	c=3 d=1 t=146139
wo xiang zhe 	我想着	c=1 d=1 t=26079
wo xin 	我信	c=2 d=1 t=101734
wo xin le 	我信了	c=1 d=1 t=132329
wo xu yao 	我需要	c=1 d=1 t=121526
wo yao 	我要	c=1 d=1 t=132144
wo yao bu 	我要不	c=1 d=1 t=23183
wo ye 	我也	c=5 d=1 t=94692
wo ye bu 	我也不	c=0 d=0.1 t=2434
wo ye bu dong 	我也不懂	c=1 d=1 t=125325
wo ye bu he 	我也不喝	c=1 d=1 t=2435
wo ye bu wan 	我也不玩	c=1 d=1 t=66752
wo ye jue de 	我也觉得	c=1 d=1 t=104568
wo ye qu 	我也去	c=1 d=1 t=14077
wo ye shi 	我也是	c=3 d=1 t=119917
wo ye xiang wan 	我也想玩	c=1 d=1 t=140812
wo ye yao 	我也要	c=1 d=1 t=50149
wo ye you 	我也有	c=1 d=1 t=145537
wo ye you dian 	我也有点	c=1 d=1 t=109189
wo yi ge 	我一个	c=1 d=1 t=64628
wo yi jing 	我已经	c=1 d=1 t=14566
wo yi si 	我意思	c=1 d=1 t=147576
wo yong 	我用	c=2 d=1 t=64673
wo you yi ge peng you 	我有一个朋友	c=1 d=1 t=148522
wo yu dao 	我遇到	c=1 d=1 t=40323
wo zai 	我在	c=2 d=1 t=147852
wo zan shi 	我暂时	c=1 d=1 t=12079
wo zhang hu 	我账户	c=1 d=1 t=92324
wo zhe 	我这	c=6 d=1 t=107190
wo zhe 	窝着	c=1 d=1 t=79358
wo zhe bian 	我这边	c=4 d=1.5975 t=56199
wo zhe ge 	我这个	c=2 d=0.126818 t=148898
wo zhe hai hao 	我这还好	c=1 d=1 t=133726
wo zhe zhong 	我这种	c=1 d=1 t=16957
wo zhi dao 	我知道	c=12 d=0.810584 t=148898
wo zhi jie 	我直接	c=3 d=1 t=143023
wo zhi neng 	我只能	c=2 d=1 t=128253
wo zhi qian 	我之前	c=2 d=1 t=144711
wo zhi shi 	我只是	c=1 d=1 t=12552
wo zhuan ye 	我专业	c=1 d=1 t=143379
wo zuo tian 	我昨天	c=2 d=1.02317 t=99501
wo zuo wan 	我昨晚	c=2 d=1 t=52597
wu 	五	c=2 d=1 t=74112
wu 	吴	c=4 d=1 t=54278
wu 	无	c=4 d=1 t=129438
wu an 	午安	c=14 d=1 t=143971
wu bi 	五笔	c=3 d=2.63754 t=141480
wu bi 	务必	c=1 d=1 t=125467
wu bu wei 	五部委	c=1 d=1 t=10008
wu cao zuo 	误操作	c=1 d=1 t=127497
wu chang 	五常	c=1 d=1 t=89972
wu di 	无敌	c=2 d=1.099 t=130689
wu di xing 	无敌星	c=1 d=1 t=130688
wu fa 	无法	c=57 d=1 t=139396
wu fa gou tong 	无法沟通	c=1 d=1 t=140751
wu fan 	午饭	c=12 d=1.00196 t=133654
wu feng 	误封	c=1 d=1 t=123759
wu gan zhi 	无感知	c=4 d=1 t=123928
wu ge 	五个	c=0 d=0.1 t=76142
wu ge rao 	五个绕	c=1 d=1 t=76143
wu guan 	无关	c=2 d=1 t=120573
wu guan jin yao 	无关紧要	c=1 d=1 t=80849
wu guan tong yang 	无关痛痒	c=1 d=1 t=99078
wu gui 	乌龟	c=1 d=1 t=137180
wu hen 	无痕	c=2 d=1.8781 t=42787
wu hui 	误会	c=1 d=1 t=44661
wu ji 	乌鸡	c=1 d=1 t=22443
wu ji 	无级	c=1 d=1 t=31398
wu jiao 	午觉	c=2 d=1 t=85596
wu jie 	无解	c=6 d=1.76338 t=90478
wu jie 	误解	c=1 d=1 t=73996
wu kong 	悟空	c=1 d=1 t=16990
wu le 	悟了	c=1 d=1 t=131151
wu li 	物理	c=1 d=1 t=48182
wu li xing 	物理性	c=1 d=1 t=101346
wu liao 	无聊	c=5 d=0.26982 t=148898
wu lin 	武林	c=0 d=0.1 t=10251
wu lin yi hao 	武林一号	c=1 d=1 t=10252
wu long 	乌龙	c=2 d=1.99501 t=58313
wu mao 	五毛	c=1 d=1 t=44628
wu mian zhi wang 	无冕之王	c=1 d=1 t=66556
wu ming 	无名	c=1 d=1 t=127137
wu nai 	无奈	c=1 d=1 t=107489
wu nao 	无脑	c=3 d=1.34301 t=69512
wu neng 	无能	c=1 d=1 t=130721
wu niang 	舞娘	c=3 d=1 t=59638
wu pai 	五排	c=2 d=1 t=124748
wu ran 	污染	c=3 d=1 t=85735
wu ren 	无人	c=1 d=1 t=103036
wu shi 	无视	c=3 d=1 t=67035
wu shi 	武士	c=6 d=1.89419 t=59319
wu shu ci 	无数次	c=1 d=1 t=66640
wu shuang 	无双	c=1 d=1 t=125958
wu shui 	午睡	c=2 d=1 t=112481
wu suo wei 	无所谓	c=33 d=1.00003 t=148709
wu suo wei le 	无所谓了	c=1 d=1 t=86742
wu suo wei me 	无所谓么	c=1 d=1 t=16747
wu tang 	无糖	c=1 d=1 t=139518
wu ti 	物体	c=1 d=1 t=130609
wu tong 	无痛	c=0 d=0.1 t=15973
wu tong sha shou 	无痛杀手	c=1 d=1 t=15974
wu tou 	无头	c=1 d=1 t=45870
wu wen 	无闻	c=2 d=1 t=79063
wu wu wu 	呜呜呜	c=11 d=1.89583 t=105493
wu xian 	无线	c=7 d=1 t=143228
wu xian 	无限	c=5 d=1 t=130658
wu xian 	诬陷	c=1 d=1 t=46244
wu xian chong 	无线充	c=1 d=1 t=103026
wu xian chong dian qi 	无线充电器	c=1 d=1 t=41185
wu xian ci shu 	无限次数	c=1 d=1 t=32515
wu xian liu 	无限流	c=1 d=1 t=110328
wu xian qi 	无限期	c=1 d=1 t=32538
wu xiao 	无效	c=4 d=1 t=145473
wu xiu 	午休	c=1 d=1 t=13623
wu ye 	物业	c=29 d=1.43918 t=148898
wu ye fei 	物业费	c=6 d=1 t=88403
wu ye you min 	无业游民	c=3 d=1.0005 t=27191
wu yi jian 	无意间	c=1 d=1 t=1258
wu yi jiu jiu 	五一九九	c=1 d=1 t=8288
wu yu 	物语	c=2 d=1 t=10870
wu zhong sheng you 	无中生有	c=1 d=1 t=100213
wu zhuang xiu 	无装修	c=1 d=1 t=55676
wu zi 	物资	c=1 d=1 t=129921
wu zi mu 	无字幕	c=3 d=2.26055 t=56585
wu zuo 	无座	c=2 d=1.58567 t=148096
xi 	吸	c=9 d=1 t=109743
xi 	喜	c=1 d=1 t=63999
xi 	洗	c=36 d=1.00003 t=141027
xi 	系	c=1 d=1 t=88915
xi 	细	c=4 d=1 t=86497
xi 	西	c=1 d=1 t=106306
xi ba lian 	洗把脸	c=2 d=1 t=43691
xi bao 	细胞	c=2 d=1 t=24373
xi bei feng 	西北风	c=1 d=1 t=59922
xi bei zi 	洗杯子	c=1 d=1 t=44762
xi bu gan jing 	洗不干净	c=2 d=1 t=118738
xi bu xi huan 	喜不喜欢	c=1 d=1 t=67654
xi cha 	细查	c=1 d=1 t=112414
xi chu 	西出	c=1 d=1 t=46149
xi de gan jing 	洗得干净	c=1 d=1 t=22754
xi di 	洗地	c=2 d=1.91851 t=85580
xi di 	洗涤	c=1 d=1 t=85564
xi diao 	洗掉	c=1 d=0.1 t=141823
xi diao le 	洗掉了	c=1 d=1 t=141824
xi ding deng 	吸顶灯	c=4 d=1.01046 t=12212
xi fa lu 	洗发露	c=2 d=1.18268 t=31675
xi fen 	戏份	c=1 d=1 t=86226
xi gai 	膝盖	c=1 d=1 t=24051
xi gan jing 	洗干净	c=2 d=1 t=66158
xi ge zao 	洗个澡	c=8 d=1 t=141815
xi gua 	西瓜	c=2 d=1.5599 t=12313
xi gua mei 	西瓜妹	c=2 d=1 t=132538
xi guan 	习惯	c=37 d=0.436344 t=148898
xi guan 	吸管	c=1 d=1 t=2499
xi hao le 	洗好了	c=3 d=1.99501 t=79022
xi hao zao 	洗好澡	c=0 d=0.1 t=14401
xi hu 	西湖	c=2 d=1 t=70079
xi hu cu yu 	西湖醋鱼	c=1 d=1 t=135723
xi hua 	西化	c=1 d=1 t=44843
xi huan 	喜欢	c=48 d=1.22032 t=147690
xi huan ta 	喜欢他	c=1 d=1 t=101662
xi ji 	袭击	c=3 d=1 t=93883
xi jiao 	洗脚	c=1 d=1 t=119094
xi jie 	细节	c=7 d=1 t=134562
xi jiu 	喜酒	c=1 d=1 t=75715
xi jiu 	细究	c=2 d=1 t=75714
xi jiu long 	西九龙	c=1 d=1 t=142225
xi jun 	细菌	c=1 d=1 t=23745
xi kan 	细看	c=2 d=1 t=54970
xi le 	洗了	c=1 d=1 t=30422
xi le ge 	洗了个	c=1 d=0.1 t=79381
xi le ge yi fu 	洗了个衣服	c=1 d=1 t=79382
xi lie 	系列	c=5 d=1 t=142313
xi men 	西门	c=1 d=1 t=58383
xi mi 	细密	c=1 d=1 t=43489
xi mian nai 	洗面奶	c=1 d=1 t=74441
xi ming 	系名	c=0 d=0.1 t=9222
xi ming 	西铭	c=0 d=0.1 t=9223
xi ming yuan 	系名远	c=-1 d=1 t=9223
xi ming yuan 	西铭苑	c=18 d=1 t=141037
xi rou 	息肉	c=1 d=1 t=51888
xi shen 	洗身	c=0 d=0.1 t=57447
xi shen qi 	洗身起	c=1 d=1 t=57448
xi sheng pin 	牺牲品	c=1 d=1 t=100017
xi shi 	西施	c=4 d=1.99501 t=80541
xi shou 	吸收	c=4 d=1 t=120215
xi shui 	吸水	c=2 d=1.98511 t=36611
xi tan 	细谈	c=1 d=1 t=99223
xi tong 	系统	c=143 d=0.744532 t=148898
xi tong zhong 	系统中	c=1 d=1 t=105934
xi tou 	洗头	c=1 d=1 t=9226
xi tou fang 	洗头房	c=1 d=1 t=19745
xi wan 	洗碗	c=2 d=1 t=130674
xi wan zao 	洗完澡	c=1 d=1 t=26024
xi wang 	希望	c=15 d=1 t=135019
xi wang ru ci 	希望如此	c=1 d=1 t=27997
xi wei 	细微	c=1 d=1 t=32678
xi xi 	兮兮	c=2 d=1 t=140324
xi xi 	嘻嘻	c=1 d=1 t=72321
xi xi 	细细	c=1 d=1 t=108994
xi xi 	西溪	c=2 d=1 t=31233
xi xi shui le 	洗洗睡了	c=1 d=1 t=13735
xi xiang 	细想	c=1 d=1 t=95806
xi xue 	吸血	c=1 d=1 t=109742
xi xue gui 	吸血鬼	c=1 d=1 t=106264
xi yan jing 	洗眼镜	c=1 d=1 t=22719
xi yang 	吸氧	c=1 d=1 t=11293
xi yi ci 	洗一次	c=1 d=1 t=71069
xi yi dai 	洗衣袋	c=1 d=1 t=46707
xi yi fu 	洗衣服	c=2 d=1 t=141580
xi yi ji 	洗衣机	c=4 d=1 t=141893
xi yi ji men 	洗衣机门	c=1 d=1 t=57504
xi yi xia 	洗一下	c=1 d=1 t=117672
xi yi ye 	洗衣液	c=1 d=1 t=58718
xi yin 	吸引	c=2 d=1 t=125485
xi zang 	西藏	c=1 d=1 t=85562
xi zao 	洗澡	c=29 d=1.517 t=148898
xi zao le 	洗澡了	c=2 d=1 t=91441
xi zhuang 	西装	c=1 d=1 t=40725
xia 	下	c=776 d=1.28903 t=148898
xia 	侠	c=1 d=1 t=135638
